Time	ET
2012-01-03 00:00:00	0.308228
2012-01-04 00:00:00	0.331702
2012-01-05 00:00:00	0.316478
2012-01-06 00:00:00	0.319976
2012-01-07 00:00:00	0.331853
2012-01-08 00:00:00	0.392184
2012-01-09 00:00:00	0.384262
2012-01-10 00:00:00	0.395393
2012-01-11 00:00:00	0.414526
2012-01-12 00:00:00	0.380827
2012-01-13 00:00:00	0.283015
2012-01-14 00:00:00	0.297988
2012-01-15 00:00:00	0.253349
2012-01-16 00:00:00	0.252228
2012-01-17 00:00:00	0.379248
2012-01-18 00:00:00	0.450607
2012-01-19 00:00:00	0.392533
2012-01-20 00:00:00	0.403718
2012-01-21 00:00:00	0.459647
2012-01-22 00:00:00	0.452927
2012-01-23 00:00:00	0.406292
2012-01-24 00:00:00	0.426387
2012-01-25 00:00:00	0.541169
2012-01-26 00:00:00	0.425668
2012-01-27 00:00:00	0.410069
2012-01-28 00:00:00	0.350969
2012-01-29 00:00:00	0.428982
2012-01-30 00:00:00	0.449901
2012-01-31 00:00:00	0.383399
2012-02-01 00:00:00	0.419723
2012-02-02 00:00:00	0.346883
2012-02-03 00:00:00	0.44928
2012-02-04 00:00:00	0.490865
2012-02-05 00:00:00	0.507488
2012-02-06 00:00:00	0.525763
2012-02-07 00:00:00	0.449557
2012-02-08 00:00:00	0.515358
2012-02-09 00:00:00	0.570835
2012-02-10 00:00:00	0.483386
2012-02-11 00:00:00	0.622688
2012-02-12 00:00:00	0.689179
2012-02-13 00:00:00	0.699605
2012-02-14 00:00:00	0.715066
2012-02-15 00:00:00	0.798495
2012-02-16 00:00:00	0.831792
2012-02-17 00:00:00	0.860088
2012-02-18 00:00:00	0.738194
2012-02-19 00:00:00	0.684721
2012-02-20 00:00:00	0.851006
2012-02-21 00:00:00	0.940151
2012-02-22 00:00:00	1.05654
2012-02-23 00:00:00	1.09546
2012-02-24 00:00:00	1.01722
2012-02-25 00:00:00	0.946666
2012-02-26 00:00:00	0.784293
2012-02-27 00:00:00	1.1458
2012-02-28 00:00:00	1.19776
2012-02-29 00:00:00	1.04313
2012-03-01 00:00:00	1.18718
2012-03-02 00:00:00	1.10719
2012-03-03 00:00:00	1.08146
2012-03-04 00:00:00	0.919918
2012-03-05 00:00:00	0.892782
2012-03-06 00:00:00	0.979518
2012-03-07 00:00:00	1.10048
2012-03-08 00:00:00	1.20465
2012-03-09 00:00:00	1.41116
2012-03-10 00:00:00	1.10575
2012-03-11 00:00:00	1.28845
2012-03-12 00:00:00	1.26988
2012-03-13 00:00:00	1.23322
2012-03-14 00:00:00	1.3617
2012-03-15 00:00:00	1.35263
2012-03-16 00:00:00	1.48005
2012-03-17 00:00:00	1.38069
2012-03-18 00:00:00	1.31301
2012-03-19 00:00:00	1.44714
2012-03-20 00:00:00	1.67254
2012-03-21 00:00:00	1.56873
2012-03-22 00:00:00	2.44491
2012-03-23 00:00:00	1.91068
2012-03-24 00:00:00	2.09963
2012-03-25 00:00:00	3.44479
2012-03-26 00:00:00	3.45796
2012-03-27 00:00:00	3.48648
2012-03-28 00:00:00	3.37557
2012-03-29 00:00:00	1.87674
2012-03-30 00:00:00	1.85239
2012-03-31 00:00:00	1.56428
2012-04-01 00:00:00	2.12064
2012-04-02 00:00:00	1.82489
2012-04-03 00:00:00	1.49133
2012-04-04 00:00:00	1.50425
2012-04-05 00:00:00	2.01305
2012-04-06 00:00:00	1.98259
2012-04-07 00:00:00	1.98193
2012-04-08 00:00:00	2.10345
2012-04-09 00:00:00	1.99513
2012-04-10 00:00:00	1.80591
2012-04-11 00:00:00	1.87618
2012-04-12 00:00:00	1.89564
2012-04-13 00:00:00	1.7068
2012-04-14 00:00:00	1.69126
2012-04-15 00:00:00	1.73221
2012-04-16 00:00:00	1.87253
2012-04-17 00:00:00	2.05012
2012-04-18 00:00:00	1.98351
2012-04-19 00:00:00	2.19125
2012-04-20 00:00:00	2.25554
2012-04-21 00:00:00	2.19941
2012-04-22 00:00:00	2.16325
2012-04-23 00:00:00	2.22473
2012-04-24 00:00:00	2.26892
2012-04-25 00:00:00	2.29308
2012-04-26 00:00:00	2.22749
2012-04-27 00:00:00	2.07511
2012-04-28 00:00:00	2.05205
2012-04-29 00:00:00	1.97415
2012-04-30 00:00:00	2.44933
2012-05-01 00:00:00	2.56086
2012-05-02 00:00:00	2.46009
2012-05-03 00:00:00	2.7135
2012-05-04 00:00:00	2.3332
2012-05-05 00:00:00	2.36521
2012-05-06 00:00:00	2.1641
2012-05-07 00:00:00	2.48962
2012-05-08 00:00:00	2.50036
2012-05-09 00:00:00	2.60819
2012-05-10 00:00:00	2.36634
2012-05-11 00:00:00	2.46981
2012-05-12 00:00:00	3.00015
2012-05-13 00:00:00	2.81827
2012-05-14 00:00:00	2.69298
2012-05-15 00:00:00	2.47593
2012-05-16 00:00:00	2.47987
2012-05-17 00:00:00	2.83762
2012-05-18 00:00:00	2.58747
2012-05-19 00:00:00	2.4734
2012-05-20 00:00:00	3.93556
2012-05-21 00:00:00	3.53954
2012-05-22 00:00:00	3.62619
2012-05-23 00:00:00	3.43855
2012-05-24 00:00:00	4.03034
2012-05-25 00:00:00	4.02209
2012-05-26 00:00:00	4.39803
2012-05-27 00:00:00	5.41569
2012-05-28 00:00:00	4.69742
2012-05-29 00:00:00	3.41608
2012-05-30 00:00:00	3.50921
2012-05-31 00:00:00	3.43909
